cohort,condition,seed,recall_at_1,recall_at_3,mean_average_precision
primary,count_baseline_markov,0,0.15235456824302673,0.408587247133255,0.3565329099955139
primary,entity_gru,7,0.21191135048866272,0.43905818462371826,0.3932966195085309
primary,temporal_rgcn,7,0.23268698155879974,0.46952909231185913,0.41779761481977545
primary,no_edge_control,7,0.2285318523645401,0.4653739631175995,0.400183015660855
primary,shuffled_edge_control,7,0.2603878080844879,0.4972299039363861,0.4357557301116858
primary,entity_gru,21,0.1911357343196869,0.36703601479530334,0.35397629455801205
primary,temporal_rgcn,21,0.20775623619556427,0.45567867159843445,0.3961738784453466
primary,no_edge_control,21,0.24238227307796478,0.42105263471603394,0.41006512339614837
primary,shuffled_edge_control,21,0.2285318523645401,0.4487534761428833,0.41142178843009863
primary,entity_gru,73,0.24238227307796478,0.44182825088500977,0.40824783864950076
primary,temporal_rgcn,73,0.2285318523645401,0.4709141254425049,0.41154200139657204
primary,no_edge_control,73,0.19529086351394653,0.45013850927352905,0.3918454045185347
primary,shuffled_edge_control,73,0.2340720295906067,0.430747926235199,0.4089562983953566
singleton_test,count_baseline_markov,0,0.1542857140302658,0.4171428680419922,0.35802061430632864
singleton_test,entity_gru,7,0.2142857164144516,0.44285714626312256,0.3941804068946926
singleton_test,temporal_rgcn,7,0.23428571224212646,0.4714285731315613,0.41717442874585736
singleton_test,no_edge_control,7,0.23428571224212646,0.4714285731315613,0.40362034790606216
singleton_test,shuffled_edge_control,7,0.26571428775787354,0.5,0.43820561977704836
singleton_test,entity_gru,21,0.19428572058677673,0.37142857909202576,0.35585389213960644
singleton_test,temporal_rgcn,21,0.21142856776714325,0.46000000834465027,0.39834422720137014
singleton_test,no_edge_control,21,0.24857142567634583,0.42571428418159485,0.4130157065157066
singleton_test,shuffled_edge_control,21,0.23428571224212646,0.4571428596973419,0.4144113188398903
singleton_test,entity_gru,73,0.24857142567634583,0.44857141375541687,0.41154766661909514
singleton_test,temporal_rgcn,73,0.23428571224212646,0.47999998927116394,0.4154279926422784
singleton_test,no_edge_control,73,0.20000000298023224,0.4571428596973419,0.39514116835545404
singleton_test,shuffled_edge_control,73,0.23714286088943481,0.4342857003211975,0.4099015111872255
