split,procedure,event_frame,observation_start_frame,observation_end_frame,event_step,event_technique,all_targets,minimum_prior_absence_frames,minimum_confirmation_frames,targets,all_target_count,target_count,multi_instrument
train,train01,374,141,281,Incision,,"[""Primary Knife""]",64,4,"[""Primary Knife""]",1,1,False
train,train01,969,736,876,Viscodilatation,,"[""Visc. Cannula""]",166,5,"[""Visc. Cannula""]",1,1,False
train,train01,1255,1022,1162,Capsulorhexis,,"[""Cap. Cystotome""]",215,5,"[""Cap. Cystotome""]",1,1,False
train,train01,1512,1279,1419,Capsulorhexis,,"[""Bonn Forceps""]",174,3,"[""Bonn Forceps""]",1,1,False
train,train01,1734,1501,1641,Capsulorhexis,,"[""Ph. Handpiece""]",297,3,"[""Ph. Handpiece""]",1,1,False
train,train01,1822,1588,1728,Capsulorhexis,,"[""Cap. Forceps""]",42,3,"[""Cap. Forceps""]",1,1,False
train,train01,1997,1763,1903,Capsulorhexis,,"[""Hydro. Cannula""]",128,3,"[""Hydro. Cannula""]",1,1,False
train,train01,2744,2510,2650,Nucleus Breaking,Divide and Conquer,"[""Ph. Handpiece""]",67,5,"[""Ph. Handpiece""]",1,1,False
train,train01,5248,5014,5154,Irrigation/Aspiration,,"[""I/A Handpiece""]",268,4,"[""I/A Handpiece""]",1,1,False
train,train01,6864,6631,6771,Irrigation/Aspiration,,"[""Hydro. Cannula""]",83,3,"[""Hydro. Cannula""]",1,1,False
train,train01,8335,8102,8242,Preparing Implant,,"[""Lens Injector""]",1428,4,"[""Lens Injector""]",1,1,False
train,train01,8347,8113,8253,Preparing Implant,,"[""Bonn Forceps""]",1110,4,"[""Bonn Forceps""]",1,1,False
train,train01,8358,8125,8265,Preparing Implant,,"[""Suture Needle""]",1154,4,"[""Suture Needle""]",1,1,False
train,train01,9088,8855,8995,Implantation,,"[""I/A Handpiece""]",46,3,"[""I/A Handpiece""]",1,1,False
train,train01,10092,9858,9999,Idle,,"[""Rycroft Cannula""]",44,3,"[""Rycroft Cannula""]",1,1,False
train,train01,10279,10045,10185,OVD Aspiration,,"[""I/A Handpiece""]",109,3,"[""I/A Handpiece""]",1,1,False
train,train01,13798,13565,13705,Wound Hydratation,,"[""Bonn Forceps""]",336,4,"[""Bonn Forceps""]",1,1,False
train,train01,13839,13606,13746,Wound Hydratation,,"[""Hydro. Cannula""]",274,4,"[""Hydro. Cannula""]",1,1,False
train,train02,392,158,298,Idle,,"[""Secondary Knife""]",67,3,"[""Secondary Knife""]",1,1,False
train,train02,409,176,316,Incision,,"[""Bonn Forceps""]",70,5,"[""Bonn Forceps""]",1,1,False
train,train02,713,479,619,Incision,,"[""Primary Knife""]",122,5,"[""Primary Knife""]",1,1,False
train,train02,1390,1157,1297,Capsulorhexis,,"[""Visc. Cannula""]",56,3,"[""Visc. Cannula""]",1,1,False
train,train02,2377,2143,2283,Hydrodissetion,,"[""Hydro. Cannula""]",288,5,"[""Hydro. Cannula""]",1,1,False
train,train02,3182,2949,3089,Nucleus Breaking,Stop and Chop,"[""Hydro. Cannula""]",77,4,"[""Hydro. Cannula""]",1,1,False
train,train02,5927,5693,5833,Irrigation/Aspiration,,"[""I/A Handpiece""]",469,3,"[""I/A Handpiece""]",1,1,False
train,train02,8758,8525,8665,Implantation,,"[""I/A Handpiece"", ""Lens Injector""]",251,3,"[""I/A Handpiece"", ""Lens Injector""]",2,2,True
train,train02,9692,9459,9599,OVD Aspiration,,"[""I/A Handpiece""]",80,5,"[""I/A Handpiece""]",1,1,False
train,train02,10142,9908,10049,OVD Aspiration,,"[""Micromanipulator""]",75,3,"[""Micromanipulator""]",1,1,False
train,train02,10679,10446,10586,Wound Hydratation,,"[""Rycroft Cannula""]",231,4,"[""Rycroft Cannula""]",1,1,False
train,train02,11648,11415,11555,Idle,,"[""I/A Handpiece""]",50,3,"[""I/A Handpiece""]",1,1,False
train,train03,771,537,678,Idle,,"[""Secondary Knife""]",132,3,"[""Secondary Knife""]",1,1,False
